material_id,formula,band_gap_eV,is_direct_gap,density_g_cm3,crystal_system,spacegroup,dos_integral_vb,dos_peak_count,dos_vbm_slope,dos_mean_density
mp-862690,Ac,0.0,False,8.17018178829182,Hexagonal,194,11.886137783009357,9.0,45.962666666666344,2.995160674157303
mp-1183076,Ac2AgPb,0.0,False,9.490475602624924,Cubic,225,8.82810230095372,11.0,-0.1451662300882503,2.233789940828402
mp-1183086,Ac2CdHg,0.0,False,9.570976516145288,Cubic,225,7.886391928446413,7.0,9.368487394957933,1.9991869047619044
mp-862786,Ac2CuGe,0.0,False,8.59830517904435,Cubic,225,19.252451186449676,4.0,15.564522075238692,4.837237894736843
mp-861883,Ac2CuIr,0.0,False,11.322189909338377,Cubic,225,24.79554781896372,12.0,4.8705449554329325,6.211976923076923
mp-867241,Ac2GePd,0.0,False,9.154250739096147,Cubic,225,18.067646565304727,10.0,7.552892561983472,4.42284
mp-861872,Ac2HgGe,0.0,False,9.670946624304037,Cubic,225,7.865970466833121,8.0,0.31470665171486556,1.975688888888889
mp-1183377,Ac2InGa,0.0,False,8.116507450125557,Cubic,225,7.93123245246252,9.0,-3.9166584272806544,1.993248538011696
mp-865951,Ac2IrAu,0.0,False,12.810759614228811,Cubic,225,13.759579248322607,9.0,5.159760956175296,3.508348427672956
mp-866107,Ac2IrPd,0.0,False,11.92706591012911,Cubic,225,22.866241826532274,13.0,1.1702811623853082,5.730642038216559
mp-1183093,Ac2IrRh,0.0,False,12.266179147529508,Cubic,225,23.748269318670637,13.0,-27.020109941091718,5.970948091603055
mp-1183074,Ac2MgGa,0.0,False,7.055287093922438,Cubic,225,,,,
mp-1183078,Ac2MgPb,0.0,False,8.045456041810434,Cubic,225,,,,
mp-866103,Ac2MgSn,0.0,False,7.178167068725801,Cubic,225,,,,
mp-1183079,Ac2MgTl,0.0,False,8.085059245187924,Cubic,225,,,,
mp-862849,Ac2NiIr,0.0,False,11.66664295683749,Cubic,225,23.865666223962954,10.0,2.5000711432317977,5.995258
mp-11107,Ac2O3,3.522599999999999,False,9.109129867325775,Trigonal,164,18.015824829486828,15.0,-57.8804613475199,4.490624293785311
mp-32800,Ac2S3,2.2962,False,6.535149338291522,Tetragonal,122,,,,
mp-865855,Ac2SiPd,0.0,False,8.61022870876441,Cubic,225,17.33968827123487,12.0,-4.177627355835778,4.378243589743589
mp-1183072,Ac2TlCd,0.0,False,9.256491185955248,Cubic,225,8.31618449354531,7.0,-10.203404255319118,2.115179411764706
mp-1183073,Ac2TlIn,0.0,False,9.190531921704455,Cubic,225,7.929798099252933,9.0,2.076394849785448,1.9947802325581399
mp-1183070,Ac2TlSn,0.0,False,9.27724218323011,Cubic,225,8.910314893635771,10.0,-1.992416782742086,2.233474566473988
mp-866018,Ac2ZnGe,0.0,False,8.337439913110764,Cubic,225,7.939360060206575,12.0,-3.703052906881306,1.9992794117647061
mp-1183067,Ac2ZnHg,0.0,False,9.50263321664783,Cubic,225,6.999502487678405,5.0,25.12019224356463,1.783984523809524
mp-1183106,Ac2ZnIn,0.0,False,8.061589177263507,Cubic,225,7.888773475378953,8.0,-4.859450289991249,1.9972364705882355
mp-985305,Ac3In,0.0,False,8.547052742837637,Hexagonal,194,19.81057637420868,13.0,33.456858907157034,5.005725555555555
mp-985506,Ac3Tl,0.0,False,9.509015509482957,Hexagonal,194,19.764101435018667,16.0,40.03697495467127,4.994348888888888
mp-866199,AcAg,0.0,False,9.03733750389757,Cubic,221,3.7700741721911584,5.0,-0.09493333333332675,0.9506869158878506
mp-1183065,AcAg2Pb,0.0,False,10.336094994848548,Cubic,225,6.849506776355379,11.0,1.7463231517056697,1.7123013605442174
mp-865950,AcAg3,0.0,False,9.089635386684668,Hexagonal,194,22.81853954358186,10.0,0.8560311284046834,5.914323717948717
mp-862617,AcAl3,0.0,False,5.209835997276531,Hexagonal,194,16.2619754938019,9.0,8.2908695652174,4.0875821839080455
mp-1183115,AcAlO3,4.1024,True,8.728230081866649,Cubic,221,15.480513653729446,12.0,-34.532653061224494,3.862173504273504
mp-867838,AcAu3,0.0,False,13.954950191229132,Hexagonal,194,41.73972028894287,14.0,-11.937065637065643,10.56405
mp-27972,AcBr3,4.103299999999999,False,5.679086211676529,Hexagonal,176,36.117465911138524,23.0,-103.56470815746539,8.949600558659217
mp-30274,AcBrO,4.241,True,7.652290117092176,Tetragonal,129,24.039968007273753,20.0,-16.34224216496895,5.989076666666667
mp-864644,AcCdHg2,0.0,False,11.292803173766657,Cubic,225,5.466245064184337,3.0,2.4443923533177148,1.3781602739726027
mp-861880,AcCdRh2,0.0,False,11.010987936418678,Cubic,225,21.380844309828944,14.0,-3.5612593125539895,5.2990683333333335
mp-27971,AcCl3,5.0865,False,4.724438632804964,Hexagonal,176,36.800702798826855,20.0,-108.71503176671611,9.094361452513967
mp-30273,AcClO,4.4451,False,7.156870615491261,Tetragonal,129,23.693819465461008,20.0,-72.09820627802706,5.917317222222222
mp-866101,AcCrO3,2.0031,False,8.848788046728616,Cubic,221,15.919683569473632,16.0,-4.717866666666678,4.0174906542056075
mp-1183114,AcCu3,0.0,False,8.572205360336502,Hexagonal,194,63.788588489844685,10.0,12.03205142422768,15.971952222222221
mp-864606,AcCuO3,0.0,False,9.380470938074593,Cubic,221,17.177065913737906,7.0,0.7133355320617543,4.297896103896106
mp-1006278,AcEuAu2,0.0,False,11.535299055302662,Cubic,225,13.311104007505532,6.0,19.06052216697404,3.538795867768595
mp-1183124,AcEuZn2,0.0,False,7.503161499665293,Cubic,225,14.418940691486283,5.0,-1.9601823708206725,3.5404418032786884
mp-985278,AcF3,6.0693,False,8.793764902943147,Tetragonal,139,17.918814983467882,12.0,-75.03547653317302,4.50852
mp-861502,AcFeO3,0.9887999999999991,False,8.889999465919495,Cubic,221,12.80911864932788,11.0,-7.279319547181834,3.2006755555555553
mp-1183053,AcGaO3,2.895900000000001,False,9.31449500321555,Cubic,221,15.491291368511776,9.0,-59.26908517350145,3.8680511811023623
mp-862665,AcGe3,0.0,False,7.858576635263988,Hexagonal,194,16.36555374135965,11.0,-0.00415972418404979,4.107800657894737
mp-24147,AcH2,0.0,False,7.345135733071883,Cubic,225,2.853462921637861,4.0,-0.005966666653466163,0.7354402777777778
mp-861605,AcH3,0.640699999999999,False,7.784733821859042,Cubic,225,2.305304861499593,2.0,-0.0329168811324827,0.5895979166666666
